"Gene ID","Product","Evidence Code","Reference","Support for Evidence Code Assignment","Transcript ID(s)"
"PF3D7_0100200","rifin","IDA","PMID:25751816","N/A","PF3D7_0100200.1"
"PF3D7_0100400","rifin","IDA","PMID:25751816","N/A","PF3D7_0100400.1"
"PF3D7_0100600","rifin","IDA","PMID:10430943","N/A","PF3D7_0100600.1"
"PF3D7_0100800","rifin","IDA","PMID:25751816","N/A","PF3D7_0100800.1"
"PF3D7_0100900","rifin","IDA","PMID:25751816","N/A","PF3D7_0100900.1"
"PF3D7_0101000","rifin","IDA","PMID:25751816","N/A","PF3D7_0101000.1"
"PF3D7_0101600","rifin","IDA","PMID:25751816","N/A","PF3D7_0101600.1"
"PF3D7_0101800","stevor","N/A","N/A","N/A","PF3D7_0101800.1"
"PF3D7_0101900","rifin","IDA","PMID:10430943","N/A","PF3D7_0101900.1"
"PF3D7_0102300","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0102300.1"
"PF3D7_0104200","StAR-related lipid transfer protein","IDA","PMID:24043620","N/A","PF3D7_0104200.1"
"PF3D7_0107300","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PRCDC_0105200|GeneDB:PGAL8A_00103400","PF3D7_0107300.1"
"PF3D7_0112800","Plasmodium exported protein (hyp11), unknown function","IDA","PMID:25850860","N/A","PF3D7_0112800.1"
"PF3D7_0112900","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0112900.1"
"PF3D7_0113300","Plasmodium exported protein (hyp1), unknown function","RCA","PMID:16507167","N/A","PF3D7_0113300.1"
"PF3D7_0113900","CX3CL1-binding protein 1","IDA","PMID:27653778","N/A","PF3D7_0113900.1"
"PF3D7_0114200","exported protein family 3","IDA","PMID:23517413","N/A","PF3D7_0114200.1"
"PF3D7_0114500","Plasmodium exported protein (hyp10), unknown function","RCA","PMID:16507167","N/A","PF3D7_0114500.1"
"PF3D7_0115200","rifin","IDA","PMID:25751816","N/A","PF3D7_0115200.1"
"PF3D7_0115300","rifin","IDA","PMID:10430943","N/A","PF3D7_0115300.1"
"PF3D7_0115400","stevor","N/A","N/A","N/A","PF3D7_0115400.1"
"PF3D7_0115600","rifin","IDA","PMID:25751816","N/A","PF3D7_0115600.1"
"PF3D7_0200400","stevor","N/A","N/A","N/A","PF3D7_0200400.1"
"PF3D7_0200500","rifin","IDA","PMID:25751816","N/A","PF3D7_0200500.1"
"PF3D7_0200600","rifin","IDA","PMID:25751816","N/A","PF3D7_0200600.1"
"PF3D7_0200700","rifin","IDA","PMID:25751816","N/A","PF3D7_0200700.1"
"PF3D7_0201200","rifin","IDA","PMID:25751816","N/A","PF3D7_0201200.1"
"PF3D7_0201300","stevor","N/A","N/A","N/A","PF3D7_0201300.1"
"PF3D7_0201400","Plasmodium exported protein (hyp10), unknown function","RCA","PMID:16507167","N/A","PF3D7_0201400.1"
"PF3D7_0201500","Plasmodium exported protein (hyp9), unknown function","RCA","PMID:16507167","N/A","PF3D7_0201500.1"
"PF3D7_0201900","erythrocyte membrane protein 3","IDA","PMID:17626011","N/A","PF3D7_0201900.1"
"PF3D7_0202000","knob-associated histidine-rich protein","IDA","PMID:3301325","N/A","PF3D7_0202000.1"
"PF3D7_0202200","EMP1-trafficking protein","IDA","PMID:23683579","N/A","PF3D7_0202200.1"
"PF3D7_0220100","DnaJ protein, putative","ISM","N/A","Pfam:PF14308","PF3D7_0220100.1"
"PF3D7_0220200","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0220200.1"
"PF3D7_0220300","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0220300.1"
"PF3D7_0220600","Plasmodium exported protein (hyp9), unknown function","RCA","PMID:16507167","N/A","PF3D7_0220600.1"
