transcript;description
PF3D7_0217500.1;Calcium-dependent protein kinase 1 (EC 2.7.11.1) (PfCDPK1)
PF3D7_1209500.1;cGMP-specific 3',5'-cyclic phosphodiesterase alpha (PfPDE1) (PfPDEalpha) (EC 3.1.4.35)
PF3D7_1470500.1;cGMP-specific 3',5'-cyclic phosphodiesterase delta (PfPDEdelta) (EC 3.1.4.35)
PF3D7_0304600.1;Circumsporozoite protein (CS) (PfCSP) [Cleaved into: Circumsporozoite protein C-terminus]
PF3D7_1346800.1;Female gametocyte surface protein P47
PF3D7_0209000.1;Gametocyte surface protein P230
PF3D7_1346700.1;Gametocyte surface protein P45/48
PF3D7_1016300.1;Glycophorin-binding protein 130 (GBP130 protein)
PF3D7_1360500.1;Guanylate cyclase beta (PfGCbeta) (EC 4.6.1.2) (Guanylyl cyclase beta)
PF3D7_0208900.1;Male gametocyte surface protein P230p
PF3D7_0511500.1;MATH and LRR domain-containing protein PFE0570w
PF3D7_0206800.1;Merozoite surface protein 2 (45 kDa merozoite surface antigen) (Merozoite surface antigen 2) (MSA-2)
PF3D7_1228600.1;Merozoite surface protein 9 (101 kDa malaria antigen) (Acidic basic repeat antigen) (p101 protein)
PF3D7_0612700.1;Merozoite surface protein P12 [Cleaved into: Merozoite surface protein P12, processed form]
PF3D7_0508000.1;Merozoite surface protein P38
PF3D7_0404900.1;Merozoite surface protein P41 [Cleaved into: Merozoite surface protein P41, processed form]
PF3D7_1364100.1;Merozoite surface protein P92
PF3D7_1342600.1;Myosin-A (PfMyoA)
PF3D7_0305500.1;Protein dopey homolog PFC0245c
PF3D7_1417600.1;Protein PF3D7_1417600
PF3D7_0628100.1;Putative E3 ubiquitin-protein ligase protein PFF1365c (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase PFF1365c)
PF3D7_0103400.1;Putative zinc carboxypeptidase (EC 3.4.17.-)
PF3D7_1310600.1;Ras-related protein Rab-5B (PfRab5B) (EC 3.6.5.2)
PF3D7_0203000.1;Repetitive organellar protein
PF3D7_0402300.1;"Reticulocyte-binding protein homolog 1 (PfRH1) (Normocyte-binding protein 1) (PfNBP1) [Cleaved into: Reticulocyte-binding protein homolog 1 240 kDa form.1; Reticulocyte-binding protein homolog 1 120 kDa form]"
PF3D7_1335400.1;"Reticulocyte-binding protein homolog 2a (PfR2Ha) (PfRH2a) [Cleaved into: Reticulocyte-binding protein homolog 2a 85 kDa form.1; Reticulocyte-binding protein homolog 2a 285 kDa form]"
PF3D7_1335300.1;"Reticulocyte-binding protein homolog 2b (PfR2Hb) (PfRH2b) [Cleaved into: Reticulocyte-binding protein homolog 2b 85 kDa form.1; Reticulocyte-binding protein homolog 2b 297 kDa form]"
PF3D7_0424100.1;Reticulocyte-binding protein homolog 5 (PfRH5)
PF3D7_0323400.1;Rh5-interacting protein (PfRipr)
PF3D7_0405200.1;Rhoptry surface protein CERLI2 (Ag-1 blood stage membrane protein homolog) (Pfmag-1) (Cytosolically exposed rhoptry leaflet interacting protein 2) (PfCERLI2)
PF3D7_0502000.1;RING finger protein PFE0100w
PF3D7_0603400.1;RING finger protein PFF0165c
PF3D7_1035200.1;S-antigen protein
PF3D7_0207600.1;"Serine-repeat antigen protein 5 (EC 3.4.22.-) (111 kDa antigen) (Serine protease SERA5) (p126) [Cleaved into: p47 (SER36).1; p56.1; p50.1; p18.1; p25n.1; p25c]"
PF3D7_0404400.1;Sporozoite surface protein P36
PF3D7_0404500.1;Sporozoite surface protein P36p (Sporozoite surface protein P52)
PF3D7_0507400.1;Subtilisin propeptide-like protein (PfSUB1-ProM)
PF3D7_0507500.1;Subtilisin-like protease 1 (EC 3.4.21.62) (PfSUB1)
PF3D7_0507200.1;Subtilisin-like protease 3 (EC 3.4.21.62) (PfSUB3)
PF3D7_1420700.1;Surface protein P113
PF3D7_0612800.1;Surface protein P12p
PF3D7_0529000.1;T-cell immunomodulatory protein homolog
PF3D7_1345100.1;Thioredoxin 2 (PfTRX2)
PF3D7_1437800.1;Trafficking protein particle complex subunit 5 (41-2 protein antigen)
