"Gene ID","Product","Evidence Code","Reference","Support for Evidence Code Assignment","Transcript ID(s)"
"PF3D7_0100600","rifin","IDA","PMID:10430943","N/A","PF3D7_0100600.1"
"PF3D7_0100800","rifin","IDA","PMID:25751816","N/A","PF3D7_0100800.1"
"PF3D7_0100900","rifin","IDA","PMID:25751816","N/A","PF3D7_0100900.1"
"PF3D7_0101000","rifin","IDA","PMID:25751816","N/A","PF3D7_0101000.1"
"PF3D7_0101100","exported protein family 4","IDA","PMID:23517413","N/A","PF3D7_0101100.1"
"PF3D7_0101200","exported protein family 3","IDA","PMID:23517413","N/A","PF3D7_0101200.1"
"PF3D7_0101600","rifin","IDA","PMID:25751816","N/A","PF3D7_0101600.1"
"PF3D7_0101800","stevor","N/A","N/A","N/A","PF3D7_0101800.1"
"PF3D7_0101900","rifin","IDA","PMID:10430943","N/A","PF3D7_0101900.1"
"PF3D7_0102300","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0102300.1"
"PF3D7_0104400","4-hydroxy-3-methylbut-2-enyl diphosphate reductase","IDA","PMID:16289098","N/A","PF3D7_0104400.1"
"PF3D7_0106000","conserved protein, unknown function","ISO","N/A","UniProt:S8F6Q3|UniProt:Q4UDA0|UniProt:A7AQ24|GeneDB:PCHAS_0205700|GeneDB:PVP01_0208800","PF3D7_0106000.1"
"PF3D7_0107700","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative","ISS","PMID:30835280","Pfam:PF04756|UniProt:P48439|UniProt:Q03723","PF3D7_0107700.1"
"PF3D7_0111400","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0111400.1"
"PF3D7_0112100","PIMMS1 protein","IDA","PMID:33791240","N/A","PF3D7_0112100.1"
"PF3D7_0112800","Plasmodium exported protein (hyp11), unknown function","IDA","PMID:25850860","N/A","PF3D7_0112800.1"
"PF3D7_0112900","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0112900.1"
"PF3D7_0113000","glutamic acid-rich protein GARP","IDA","PMID:2903445","N/A","PF3D7_0113000.1"
"PF3D7_0113300","Plasmodium exported protein (hyp1), unknown function","RCA","PMID:16507167","N/A","PF3D7_0113300.1"
"PF3D7_0113400","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0113400.1"
