ID,Name,cluster name
PF3D7_0715000.1o1,4-nitrophenylphosphatase (PNPase),intracellular protein
PF3D7_1103100.e2s1,"60S ribosomal protein P1, putative",intracellular protein
PF3D7_1004800.3o3,"ADP/ATP carrier protein, putative",intracellular protein
PF3D7_0903700.e3s1,alpha tubulin 1,intracellular protein
PF3D7_0519500.e2s1,"carbon catabolite repressor protein 4, putative (CCR4)",intracellular protein
PF3D7_0516100.e1s2,cation-transporting ATPase 1 (ATPase1),intracellular protein
PF3D7_0810400.1o1,"aquaporin, putative",intracellular protein
PF3D7_1448700.1o1,"HSP20-like chaperone, putative",intracellular protein
PF3D7_1302500.iso1.exon2.amp1,"AAA domain-containing protein, putative",intracellular protein
PF3D7_0310500.e1s2,"DEAD box helicase, putative",intracellular protein
PF3D7_1347700.1o3,"ethanolamine-phosphate cytidylyltransferase, putative (ECT)",intracellular protein
PF3D7_1019000.e1s1,"eukaryotic translation initiation factor subunit eIF2A, putative",intracellular protein
PF3D7_1035300.iso1.exon1.amp2,glutamate-rich protein,intracellular protein
PF3D7_1446900.2o3,"glutaminyl-peptide cyclotransferase, putative",intracellular protein
PF3D7_0905400.e7s1,high molecular weight rhoptry protein 3 (RhopH3),intracellular protein
PF3D7_0317500.iso1.exon1.amp1,"kinesin-like protein, putative",intracellular protein
PF3D7_1432400.iso1.exon7.amp1,leucine-rich repeat protein,intracellular protein
PF3D7_1401500.1o1,"lysophospholipase, putative",intracellular protein
PF3D7_0518700.e3s1,mRNA-binding protein PUF1 (PUF1),intracellular protein
PF3D7_0605600.iso1.exon1.amp1,"nucleoside diphosphate kinase, putative",intracellular protein
PF3D7_0808200.e1s1,plasmepsin X,intracellular protein
PF3D7_0405400.e2s4,"pre-mRNA-processing-splicing factor 8, putative (PRPF8)",intracellular protein
PF3D7_1476500.2o2,"probable protein, unknown function",intracellular protein
PF3D7_1124500.1o1,pyruvate dehydrogenase E1 alpha subunit (pdhA),intracellular protein
PF3D7_0707800.e1s2,"RAP protein, putative",intracellular protein
PF3D7_1335300.e1s2,reticulocyte binding protein 2 homologue b (RH2b),intracellular protein
PF3D7_0812700.1o1,"RNA-binding protein (U1 snRNP-like), putative",intracellular protein
PF3D7_1361100.e1s1,Sec24 subunit a (SEC24a),intracellular protein
PF3D7_0400800.iso1.exon1.amp1,stevor,intracellular protein
PF3D7_1372800.iso1.exon2.amp1,stevor,intracellular protein
PF3D7_0516700.2o3,"ubiquitin carboxyl-terminal hydrolase 2, putative",intracellular protein
PF3D7_0313100.1o4,"ubiquitin-protein ligase, putative (HRD3)",intracellular protein
PF3D7_0715000.1o1,4-nitrophenylphosphatase (PNPase),intracellular protein
PF3D7_0208900.e1s3,6-cysteine protein (P230p),intracellular protein
PF3D7_1232100.e2,60 kDa chaperonin (CPN60),intracellular protein
PF3D7_0301300.2o2,"alpha/beta hydrolase, putative",intracellular protein
PF3D7_0823400.1o5,"alpha/beta-hydrolase, putative",intracellular protein
PF3D7_1464700.e1s1,"ATP synthase (C/AC39) subunit, putative",intracellular protein
PF3D7_0320800.e2s1,"ATP-dependent RNA helicase, putative (DOZI)",intracellular protein
PF3D7_1448700.1o1,"HSP20-like chaperone, putative",intracellular protein
PF3D7_0707600.1o1,"mediator of RNA polymerase II transcription subunit 10, putative",intracellular protein
PF3D7_1435500.1o1,"clathrin light chain, putative",intracellular protein
PF3D7_1463400.iso1.exon1.amp1,"DNA-directed RNA polymerase III subunit RPC4, putative",intracellular protein
PF3D7_1302500.iso1.exon2.amp1,"AAA domain-containing protein, putative",intracellular protein
PF3D7_0310500.e1s2,"DEAD box helicase, putative",intracellular protein
PF3D7_1243900.iso1.exon6.amp1,double C2-like domain-containing protein,intracellular protein
PF3D7_0826100.s5,"E3 ubiquitin-protein ligase, putative",intracellular protein
PF3D7_1222300.e1s1,"endoplasmin homolog precursor, putative",intracellular protein
