"Gene ID","Product","Evidence Code","Reference","Support for Evidence Code Assignment","Transcript ID(s)"
"PF3D7_0100200","rifin","IDA","PMID:25751816","N/A","PF3D7_0100200.1"
"PF3D7_0100400","rifin","IDA","PMID:25751816","N/A","PF3D7_0100400.1"
"PF3D7_0100600","rifin","IDA","PMID:10430943","N/A","PF3D7_0100600.1"
"PF3D7_0100800","rifin","IDA","PMID:25751816","N/A","PF3D7_0100800.1"
"PF3D7_0100900","rifin","IDA","PMID:25751816","N/A","PF3D7_0100900.1"
"PF3D7_0101000","rifin","IDA","PMID:25751816","N/A","PF3D7_0101000.1"
"PF3D7_0101600","rifin","IDA","PMID:25751816","N/A","PF3D7_0101600.1"
"PF3D7_0101800","stevor","N/A","N/A","N/A","PF3D7_0101800.1"
"PF3D7_0101900","rifin","IDA","PMID:10430943","N/A","PF3D7_0101900.1"
"PF3D7_0102100","stevor, pseudogene","ISM","N/A","InterPro:IPR006374","PF3D7_0102100.1"
"PF3D7_0114600","stevor, pseudogene","ISM","N/A","Pfam:PF17410","PF3D7_0114600.1"
"PF3D7_0114700","rifin","IDA","PMID:10430943","N/A","PF3D7_0114700.1"
"PF3D7_0115200","rifin","IDA","PMID:25751816","N/A","PF3D7_0115200.1"
"PF3D7_0115300","rifin","IDA","PMID:10430943","N/A","PF3D7_0115300.1"
"PF3D7_0115400","stevor","N/A","N/A","N/A","PF3D7_0115400.1"
"PF3D7_0115600","rifin","IDA","PMID:25751816","N/A","PF3D7_0115600.1"
"PF3D7_0200200","rifin","IDA","PMID:25751816","N/A","PF3D7_0200200.1"
"PF3D7_0200400","stevor","N/A","N/A","N/A","PF3D7_0200400.1"
"PF3D7_0200500","rifin","IDA","PMID:25751816","N/A","PF3D7_0200500.1"
"PF3D7_0200600","rifin","IDA","PMID:25751816","N/A","PF3D7_0200600.1"
"PF3D7_0200700","rifin","IDA","PMID:25751816","N/A","PF3D7_0200700.1"
"PF3D7_0200900","stevor, pseudogene","ISM","N/A","InterPro:IPR006374","PF3D7_0200900.1"
"PF3D7_0201000","rifin","IDA","PMID:10430943","N/A","PF3D7_0201000.1"
"PF3D7_0201200","rifin","IDA","PMID:25751816","N/A","PF3D7_0201200.1"
"PF3D7_0201300","stevor","N/A","N/A","N/A","PF3D7_0201300.1"
"PF3D7_0221400","stevor","N/A","N/A","N/A","PF3D7_0221400.1"
"PF3D7_0222400","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0222400.1"
"PF3D7_0222500","rifin","IDA","PMID:10430943","N/A","PF3D7_0222500.1"
"PF3D7_0222600","rifin","IDA","PMID:25751816","N/A","PF3D7_0222600.1"
"PF3D7_0222700","rifin","IDA","PMID:10430943","N/A","PF3D7_0222700.1"
"PF3D7_0222800","stevor","N/A","N/A","N/A","PF3D7_0222800.1"
"PF3D7_0223100","rifin","IDA","PMID:25751816","N/A","PF3D7_0223100.1"
"PF3D7_0223200","rifin","IDA","PMID:10430943","N/A","PF3D7_0223200.1"
"PF3D7_0223400","rifin","IDA","PMID:25751816","N/A","PF3D7_0223400.1"
"PF3D7_0300200","rifin","IDA","PMID:25751816","N/A","PF3D7_0300200.1"
"PF3D7_0300400","stevor","IDA","PMID:31363031","N/A","PF3D7_0300400.1"
"PF3D7_0300500","rifin","IDA","PMID:10430943","N/A","PF3D7_0300500.1"
"PF3D7_0300700","rifin","IDA","PMID:25751816","N/A","PF3D7_0300700.1"
"PF3D7_0300800","rifin","IDA","PMID:25751816","N/A","PF3D7_0300800.1"
"PF3D7_0300900","stevor","ISM","N/A","Pfam:PF17410","PF3D7_0300900.1"
"PF3D7_0324400","rifin","IDA","PMID:25751816","N/A","PF3D7_0324400.1"
"PF3D7_0324500","rifin","IDA","PMID:10562315","N/A","PF3D7_0324500.1"
"PF3D7_0324600","stevor","IDA","PMID:31363031","N/A","PF3D7_0324600.1"
