"Gene ID","source_id","Product Description","gene_source_id"
"PF3D7_0100600","PF3D7_0100600.1","rifin","PF3D7_0100600"
"PF3D7_0100800","PF3D7_0100800.1","rifin","PF3D7_0100800"
"PF3D7_0100900","PF3D7_0100900.1","rifin","PF3D7_0100900"
"PF3D7_0101000","PF3D7_0101000.1","rifin","PF3D7_0101000"
"PF3D7_0101100","PF3D7_0101100.1","exported protein family 4","PF3D7_0101100"
"PF3D7_0101200","PF3D7_0101200.1","exported protein family 3","PF3D7_0101200"
"PF3D7_0101600","PF3D7_0101600.1","rifin","PF3D7_0101600"
"PF3D7_0101800","PF3D7_0101800.1","stevor","PF3D7_0101800"
"PF3D7_0101900","PF3D7_0101900.1","rifin","PF3D7_0101900"
"PF3D7_0102300","PF3D7_0102300.1","Plasmodium exported protein, unknown function","PF3D7_0102300"
"PF3D7_0104400","PF3D7_0104400.1","4-hydroxy-3-methylbut-2-enyl diphosphate reductase","PF3D7_0104400"
"PF3D7_0106000","PF3D7_0106000.1","conserved protein, unknown function","PF3D7_0106000"
"PF3D7_0107700","PF3D7_0107700.1","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative","PF3D7_0107700"
"PF3D7_0111400","PF3D7_0111400.1","conserved Plasmodium protein, unknown function","PF3D7_0111400"
"PF3D7_0112100","PF3D7_0112100.1","PIMMS1 protein","PF3D7_0112100"
"PF3D7_0112800","PF3D7_0112800.1","Plasmodium exported protein (hyp11), unknown function","PF3D7_0112800"
"PF3D7_0112900","PF3D7_0112900.1","Plasmodium exported protein, unknown function","PF3D7_0112900"
"PF3D7_0113000","PF3D7_0113000.1","glutamic acid-rich protein GARP","PF3D7_0113000"
"PF3D7_0113300","PF3D7_0113300.1","Plasmodium exported protein (hyp1), unknown function","PF3D7_0113300"
"PF3D7_0113400","PF3D7_0113400.1","Plasmodium exported protein, unknown function","PF3D7_0113400"
"PF3D7_0113700","PF3D7_0113700.1","heat shock protein 40, type II","PF3D7_0113700"
"PF3D7_0113900","PF3D7_0113900.1","CX3CL1-binding protein 1","PF3D7_0113900"
"PF3D7_0114200","PF3D7_0114200.1","exported protein family 3","PF3D7_0114200"
"PF3D7_0114500","PF3D7_0114500.1","Plasmodium exported protein (hyp10), unknown function","PF3D7_0114500"
"PF3D7_0114700","PF3D7_0114700.1","rifin","PF3D7_0114700"
"PF3D7_0114800","PF3D7_0114800.1","Plasmodium exported protein (hyp7), unknown function","PF3D7_0114800"
"PF3D7_0115100","PF3D7_0115100.1","Plasmodium exported protein (PHISTa), unknown function","PF3D7_0115100"
"PF3D7_0115200","PF3D7_0115200.1","rifin","PF3D7_0115200"
"PF3D7_0115300","PF3D7_0115300.1","rifin","PF3D7_0115300"
"PF3D7_0115400","PF3D7_0115400.1","stevor","PF3D7_0115400"
"PF3D7_0115600","PF3D7_0115600.1","rifin","PF3D7_0115600"
"PF3D7_0200200","PF3D7_0200200.1","rifin","PF3D7_0200200"
