transcript;description
﻿PF3D7_1427900.1;Acidic leucine-rich nuclear phosphoprotein 32-related protein (ANP32/acidic nuclear phosphoprotein-like protein)
PF3D7_1453800.1;"Bifunctional glucose-6-phosphate 1-dehydrogenase/6-phosphogluconolactonase (PfGluPho) [Includes: 6-phosphogluconolactonase (6PGL) (EC 3.1.1.31).1; Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)]"
PF3D7_1144200.1;Coiled-coil domain-containing protein PF3D7_1144200
PF3D7_1419300.1;Glutathione S-transferase (PfGST) (EC 2.5.1.18)
PF3D7_0305200.1;GRIP and coiled-coil domain-containing protein
PF3D7_0703800.1;Leucine-rich repeat and coiled-coil domain-containing protein PF3D7_0703800
PF3D7_1354800.1;"Metacaspase-1 (EC 3.4.22.-) (PfMCA1) [Cleaved into: Large subunit p20.1; Small subunit p10]"
PF3D7_1416200.1;Metacaspase-3 (EC 3.4.22.-) (PfMCA3)
PF3D7_0607700.1;Protein PFF0380w
PF3D7_0216700.1;Putative autophagy-related protein 11
PF3D7_1441800.1;Putative vacuolar protein sorting-associated protein 60
PF3D7_1434100.1;Queuine tRNA-ribosyltransferase-like protein
PF3D7_0514600.1;Ribose-5-phosphate isomerase (EC 5.3.1.6)
PF3D7_0818200.1;14-3-3 protein I (Pf14-3-3I)
PF3D7_1029600.1;Adenosine deaminase (EC 3.5.4.4) (S-methyl-5'-thioadenosine deaminase) (EC 3.5.4.31)
PF3D7_0816900.1;Adenylate kinase 2 (PfAK2) (EC 2.7.4.3)
PF3D7_0717500.1;Calcium-dependent protein kinase 4 (EC 2.7.11.1) (PfCDPK4)
PF3D7_1337800.1;Calcium-dependent protein kinase 5 (EC 2.7.11.1) (PfCDPK5)
PF3D7_1136500.1;Casein kinase I (EC 2.7.11.1) (Casein kinase 1) (PfCK1)
PF3D7_0423800.1;Cysteine-rich protective antigen (Inactive sialidase CyRPA)
PF3D7_1321500.1;Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase beta (EC 3.1.4.35) (EC 3.1.4.53)
PF3D7_1015900.1;Enolase (Pfen) (Pfeno) (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)
PF3D7_1444800.1;Fructose-bisphosphate aldolase (EC 4.1.2.13)
PF3D7_1138400.1;Guanylate cyclase alpha (PfGCalpha) (EC 4.6.1.2) (Guanylyl cyclase)
PF3D7_1106800.1;Inactive protein tyrosine kinase pTKL (PfpTKL) (Pseudo-tyrosine kinase-like protein)
PF3D7_1407900.1;Plasmepsin I (EC 3.4.23.38) (Aspartic hemoglobinase I) (Plasmepsin 1)
PF3D7_1408000.1;Plasmepsin II (EC 3.4.23.39) (Plasmepsin 2)
PF3D7_1408100.1;Plasmepsin III (EC 3.4.23.39) (Histo-aspartic protease) (PfHAP) (Plasmepsin 3)
PF3D7_1407800.1;Plasmepsin IV (EC 3.4.23.39) (Plasmepsin 4)
PF3D7_1430200.1;Plasmepsin IX (PfPMIX) (EC 3.4.23.-) (Plasmepsin 9)
PF3D7_0317300.1;Protein PFC0760c
PF3D7_0210600.1;Rhoptry surface protein CERLI1 (Cytosolically exposed rhoptry leaflet interacting protein 1) (PfCERLI1) (Rhoptry apical surface protein 2) (PfRASP2)
PF3D7_0807700.1;Serine protease DegP homolog (EC 3.4.21.-)
PF3D7_0207500.1;Serine-repeat antigen protein 6 (EC 3.4.22.-) (Cysteine protease SERA6)
PF3D7_1136900.1;Subtilisin-like protease 2 (EC 3.4.21.62) (Merozoite surface sheddase) (MESH) (PfSUB2)
PF3D7_1311900.1;V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar proton pump subunit alpha)
