"Gene ID","Product","Evidence Code","Reference","Support for Evidence Code Assignment","Transcript ID(s)"
"PF3D7_0100100","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0100100.1"
"PF3D7_0100300","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0100300.1"
"PF3D7_0101100","exported protein family 4","IDA","PMID:23517413","N/A","PF3D7_0101100.1"
"PF3D7_0102200","ring-infected erythrocyte surface antigen","IDA","PMID:6382025","N/A","PF3D7_0102200.1"
"PF3D7_0102500","erythrocyte binding antigen-181","IDA","PMID:12556470","N/A","PF3D7_0102500.1"
"PF3D7_0102800","seipin domain-containing protein, putative","ISM","N/A","Pfam:PF06775","PF3D7_0102800.1"
"PF3D7_0103100","vacuolar protein sorting-associated protein 51, putative","ISS","PMID:24086721","UniProt:P36116|Pfam:PF08700","PF3D7_0103100.1"
"PF3D7_0104300","ubiquitin carboxyl-terminal hydrolase 1, putative","ISS","PMID:17581118","UniProt:Q93009","PF3D7_0104300.1"
"PF3D7_0104400","4-hydroxy-3-methylbut-2-enyl diphosphate reductase","IDA","PMID:16289098","N/A","PF3D7_0104400.1"
"PF3D7_0104600","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0104600.1"
"PF3D7_0105700","asparagine-rich antigen Pfa35-2","IDA","PMID:1922204","N/A","PF3D7_0105700.1"
"PF3D7_0106000","conserved protein, unknown function","ISO","N/A","UniProt:S8F6Q3|UniProt:Q4UDA0|UniProt:A7AQ24|GeneDB:PCHAS_0205700|GeneDB:PVP01_0208800","PF3D7_0106000.1"
"PF3D7_0106500","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0106500.1"
"PF3D7_0106800","ras-related protein Rab-5C","IDA","PMID:12657463","N/A","PF3D7_0106800.1"
"PF3D7_0106900","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative","ISO","PMID:29958953","GeneDB:PVP01_0207900","PF3D7_0106900.1"
"PF3D7_0107100","conserved protein, unknown function","ISO","N/A","UniProt:S8F5X0|UniProt:A0A074T0T1|GeneDB:PCHAS_0204600|GeneDB:PVP01_0207700","PF3D7_0107100.1"
"PF3D7_0107500","Niemann-Pick type C1-related protein","IDA","PMID:30888318","N/A","PF3D7_0107500.1"
"PF3D7_0107700","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative","ISS","PMID:30835280","Pfam:PF04756|UniProt:P48439|UniProt:Q03723","PF3D7_0107700.1"
"PF3D7_0107800","double-strand break repair protein MRE11","IDA","PMID:25938776","N/A","PF3D7_0107800.1"
"PF3D7_0108300","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0108300.1"
"PF3D7_0108400","mitochondrial carrier protein, putative","ISM","N/A","Pfam:PF00153","PF3D7_0108400.1, PF3D7_0108400.2"
"PF3D7_0109800","phenylalanine--tRNA ligase alpha subunit","IDA","PMID:25391660","N/A","PF3D7_0109800.1"
"PF3D7_0110500","bromodomain protein 3, putative","ISM","PMID:31728527","Pfam:PF00439","PF3D7_0110500.1"
"PF3D7_0110700","chromatin assembly factor 1 subunit C, putative","ISS","PMID:32206492","UniProt:Q09028|UniProt:Q04225|Pfam:PF12265","PF3D7_0110700.1"
"PF3D7_0110800","transcription initiation factor TFIIB, putative","ISS","PMID:16042788","Pfam:PF00382|UniProt:Q00403|UniProt:P29055","PF3D7_0110800.1"
"PF3D7_0111000","kinesin-8B, putative","ISO","PMID:31409625","GeneDB:PBANKA_0202700","PF3D7_0111000.1"
